"","IFI_index","percentArea","totalArea","percentFloodPlains","totalFloodPlains"
"1",0.05,0.106979577185368,708.806524359,0.0370351450756028,29
"2",0.1,0.121435582295716,804.586588255,0.0408663669799755,32
"3",0.15,0.309099314468225,2047.976039299,0.0791785860237025,62
"4",0.2,0.588803634022563,3901.191875514,0.127707396812423,100
"5",0.25,1.24774368593057,8267.0813307,0.243921127911729,191
"6",0.3,2.48646144324295,16474.360246198,0.518492031058439,406
"7",0.35,4.74647788252637,31448.380890783,1.01016550878627,791
"8",0.4,9.84740896955738,65245.235672966,2.33576828769922,1829
"9",0.45,18.4491242057932,122236.972231783,4.78136493665713,3744
"10",0.5,29.6500938652362,196450.392985948,8.68154883530854,6798
"11",0.55,38.3212125870298,253901.970989936,12.7081630568043,9951
"12",0.6,47.420837459452,314192.669911061,18.1395586432366,14204
"13",0.65,57.1007393119747,378328.066299235,25.9412035145076,20313
"14",0.7,67.7881678856378,449138.956573246,36.6762872905599,28719
"15",0.75,75.8293472697682,502416.792969409,47.5084286881896,37201
"16",0.8,82.9830632531999,549814.629976014,58.30608908868,45656
"17",0.85,89.8459282975062,595285.397828936,70.6170821413976,55296
"18",0.9,95.8706549936657,635202.97557668,85.6444115243155,67063
"19",0.95,98.9501264828678,655606.397805035,97.1368001634655,76062
"20",1,100,662562.465666526,100,78304
